,Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
7937,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Zimbabwe,ZWE,1975,6.7,
5333,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Nigeria,NGA,1975,1.5,
5375,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,North Macedonia,MKD,1975,11.8,
5417,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Norway,NOR,1975,9.1,
5459,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Oman,OMN,1975,7.5,
5501,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Pakistan,PAK,1975,1.6,
5543,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Palau,PLW,1975,35.4,
5585,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Panama,PAN,1975,8.9,
5627,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Papua New Guinea,PNG,1975,6.9,
5669,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Paraguay,PRY,1975,5.6,
5711,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Peru,PER,1975,9.3,
5753,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Philippines,PHL,1975,1.0,
5795,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Poland,POL,1975,13.3,
5837,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Portugal,PRT,1975,6.8,
5879,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Qatar,QAT,1975,26.2,
5921,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Romania,ROU,1975,10.4,
5963,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Russian Federation,RUS,1975,19.6,
6005,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Rwanda,RWA,1975,0.9,
6047,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Samoa,WSM,1975,27.1,
6089,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Sao Tome and Principe,STP,1975,2.4,
5291,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Niger,NER,1975,1.0,
6131,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Saudi Arabia,SAU,1975,16.2,
5249,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Nicaragua,NIC,1975,10.1,
5165,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Netherlands,NLD,1975,6.7,
4367,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Malawi,MWI,1975,1.1,
4409,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Malaysia,MYS,1975,2.2,
4451,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Maldives,MDV,1975,1.0,
4493,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Mali,MLI,1975,1.4,
4535,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Malta,MLT,1975,19.0,
4577,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Marshall Islands,MHL,1975,34.5,
4619,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Mauritania,MRT,1975,1.9,
4661,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Mauritius,MUS,1975,4.6,
4703,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Mexico,MEX,1975,13.0,
4745,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,"Micronesia, Fed. Sts.",FSM,1975,24.6,
4787,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Moldova,MDA,1975,10.6,
4829,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Mongolia,MNG,1975,6.7,
4871,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Montenegro,MNE,1975,7.8,
4913,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Morocco,MAR,1975,9.6,
4955,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Mozambique,MOZ,1975,1.1,
4997,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Myanmar,MMR,1975,0.8,
