,iso3c,country_name
0,ALB,Albania
93,DZA,Algeria
129,AND,Andorra
213,ATG,Antigua and Barbuda
297,ARG,Argentina
369,ARM,Armenia
465,ABW,Aruba
549,AUS,Australia
953,AUT,Austria
1374,AZE,Azerbaijan
1469,BHS,Bahamas
1553,BRB,Barbados
1646,BLR,Belarus
1721,BEL,Belgium
2141,BLZ,Belize
2225,BMU,Bermuda
2309,BOL,Bolivia
2394,BIH,Bosnia
2487,BRA,Brazil
2583,BRN,Brunei
2667,BGR,Bulgaria
3085,CPV,Cabo Verde
3157,CAN,Canada
3562,CHL,Chile
3929,COL,Colombia
4340,CRI,Costa Rica
4424,HRV,Croatia
4842,CUB,Cuba
4926,CYP,Cyprus
5344,CZE,Czechia
5761,DNK,Denmark
6183,DOM,Dominican Republic
6265,ECU,Ecuador
6681,EGY,Egypt
6776,SLV,El Salvador
6844,EST,Estonia
7265,FRO,Faroe Islands
7361,FIN,Finland
7780,FRA,France
8200,GUF,French Guiana
8620,PYF,French Polynesia
8704,GEO,Georgia
8794,DEU,Germany
9215,GIB,Gibraltar
9288,GRC,Greece
9706,GRL,Greenland
9802,GLP,Guadeloupe
10222,GTM,Guatemala
10640,HKG,Hong Kong
10734,HUN,Hungary
11152,ISL,Iceland
11570,IRN,Iran
11975,IRL,Ireland
12071,ISR,Israel
12489,ITA,Italy
12903,JAM,Jamaica
12986,JPN,Japan
13081,JOR,Jordan
13153,KAZ,Kazakhstan
13248,KOS,Kosovo
13343,KWT,Kuwait
13427,KGZ,Kyrgyzstan
13522,LVA,Latvia
13942,LBN,Lebanon
14026,LIE,Liechtenstein
14115,LTU,Lithuania
14533,LUX,Luxembourg
14951,MAC,Macao
15047,MYS,Malaysia
15140,MDV,Maldives
15224,MLT,Malta
15643,MTQ,Martinique
16063,MUS,Mauritius
16153,MYT,Mayotte
16573,MEX,Mexico
16991,MDA,Moldova
17084,MCO,Monaco
17177,MNG,Mongolia
17274,MNE,Montenegro
17673,NLD,Netherlands
18094,NCL,New Caledonia
18178,NZL,New Zealand
18598,NIC,Nicaragua
18682,MKD,North Macedonia
18777,NOR,Norway
19199,OMN,Oman
19295,PSE,Palestine
19343,PAN,Panama
19425,PRY,Paraguay
19521,PER,Peru
19822,PHL,Philippines
19913,POL,Poland
20335,PRT,Portugal
20753,PRI,Puerto Rico
21171,QAT,Qatar
21267,REU,Réunion
21687,ROU,Romania
22104,RUS,Russia
22200,KNA,Saint Kitts and Nevis
22280,VCT,Saint Vincent and the Grenadines
22364,SMR,San Marino
22460,SRB,Serbia
22556,SYC,Seychelles
22640,SGP,Singapore
22733,SVK,Slovakia
23149,SVN,Slovenia
23570,ZAF,South Africa
23984,KOR,South Korea
24380,ESP,Spain
24798,SUR,Suriname
24870,SWE,Sweden
25286,CHE,Switzerland
25705,TWN,Taiwan
25802,TJK,Tajikistan
25874,THA,Thailand
25971,TRA,Transnistria
26047,TUN,Tunisia
26133,UKR,Ukraine
26218,GBR,United Kingdom
26639,USA,United States
27057,URY,Uruguay
27152,UZB,Uzbekistan
