,iso3,Vitamin B9,Vitamin B3,Vitamin B2,Total Milk,Zinc,Vitamin E,Vitamin D,Vitamin C,Vitamin B12,Vitamin B6,Vitamin A,Selenium,Potassium,Magnesium,Iron,Iodine,Dietary Sodium,Calcium,Added sugars,Dietary fiber,Dietary cholesterol,Plant omega-3 fat,Seafood omega-3 fat,Total omega-6 fat,Monounsaturated fatty acids,Saturated fat,Total protein,Total carbohydrates,Tea,Coffee,Fruit juices,Sugar-sweetened beverages,Yoghurt (including fermented milk),Cheese,Eggs,Total seafoods,Unprocessed red meats,Total processed meats,Whole grains,Refined grains,nuts and seeds,beans and legumes,potatoes,non-starchy vegetables,fruits,Country,Data until,Data type,COVID-19 deaths,Excess deaths,Excess deaths std,t-statistic,Undercount ratio,Excess per 100k,Excess as % of annual baseline
0,ALB,2.29915420531083,29.5772267884471,1.65071557950374,113.739784746836,7.99507488960318,15.1717984639958,5.0636765602551,128.67337529473,3.87796247925137,2.29915420531083,2685.17002390473,24.2778910534769,3078.15288727218,296.269134605471,8.05330744281639,112.606794688003,3273.05588904298,851.207773742015,32.5024165970556,30.3430490800099,407.458422738146,509.642282031706,150.680561743588,2.46962609940937,15.0386087990385,12.1131564299177,66.6630408499174,50.3201395179408,0.700919465909635,0.70545742981061,25.7322518648568,925.566741916604,82.8668319317555,16.6813587185641,87.3730006160373,18.3172919807951,67.9465391831228,73.4370678793932,31.2137724044105,252.814017587458,12.2727712037474,40.1813612518816,185.783632216577,129.083756861599,138.874360391486,Albania,"Sep 30, 2022",m,3589,16553,2002,8.3,4.61,575.2,76.0
1,ARG,1.22532001194784,18.2623023513008,1.42603525253498,136.438275333577,9.163603085231212,8.42458342005791,2.60830707778835,53.5166045648426,4.25594212814362,1.22532001194784,815.862749988454,105.001146681732,1640.32948111676,185.628053426715,13.2931665344902,171.034013954029,1676.14377807557,636.934696498777,11.6793289527669,11.9388911225485,265.914485602404,436.920709778392,106.332289077318,2.65909169363216,11.0123801783144,11.2844192981069,76.5775670732638,49.4621336157396,0.560877140063646,0.232476046617848,11.0013506458021,203.030144024641,38.9940380003991,32.4140070051721,30.1147102669951,11.5925898146802,87.9270464896275,24.1817763771211,10.8131373872743,174.327694648534,1.56476860854843,3.57500916483534,51.3361221249811,123.803276050558,93.9957873084252,Argentina,"Dec 31, 2020",m,48337,34997,6332,5.5,0.72,77.4,10.2
2,ARM,1.81976452571453,20.5261544633213,1.61594395207035,73.4117523217622,12.9529913372586,16.989936929951,4.12928459327145,121.792325879166,3.82113419993538,1.81976452571453,1357.95017005009,23.5121510832447,3836.71913996319,337.635242496005,12.5732278422286,102.061519330474,2869.0296860188,856.003351789622,11.3776693965437,35.0578766059993,323.143377622786,619.695369179863,150.014078443336,2.54520946508913,19.8136612394795,11.6983906646305,102.427037720816,51.2095456144366,0.679728445419767,2.57296168759239,26.1522550860276,66.8386166715719,93.91931575899568,18.9386006042935,39.8514375069648,47.9030541043973,65.1955415678799,105.883031877815,23.3018612261091,219.78244031404,18.9043361676814,14.7079982406071,48.1662838914832,95.9320965742062,91.2343636248976,Armenia,"Dec 31, 2022",m,8716,18297,2147,8.5,2.1,617.5,72.2
3,ATG,1.13322902435744,16.3221484713686,1.25902283568772,104.796461989753,9.81085653775853,14.9845466728511,3.39287807951326,65.5638914664671,3.05973016052328,1.13322902435744,798.265625092862,114.28236228367,1812.09809423519,189.554586551174,11.9456741205784,133.905416627014,2379.77778257768,798.053223038141,14.2284895743632,25.4516852101731,209.567726504619,947.201026236657,763.30867333228,2.67716405425166,8.13189170234955,9.58998137453388,96.2619802640029,56.8708760388201,0.637358991783812,0.293616075693843,20.4927165822497,363.237079040044,18.249257180429,9.16765868842256,18.6459490730626,46.4758394937468,31.8538068740528,40.500347742612,14.3176386062707,158.437178331108,2.51891631064462,43.4996331916561,33.8613505236561,232.098663906391,95.4918802292613,Antigua and Barbuda,"Dec 31, 2021",m,119,-55,85,0.6,,-56.1,-8.7
4,AUS,1.67487972406263,21.4801647326749,1.89337173212855,204.829473765643,11.9443920095469,8.63172040108533,3.93266106359904,82.7619222401031,4.63923589260337,1.67487972406263,801.600824932621,85.9712825102656,2778.9565448677,298.279454150176,12.9195719035953,172.155786424998,2616.95643395881,673.931344637601,9.21939443229092,19.3596435443781,227.233118311448,1456.54690234155,560.709275671188,2.65444307056295,12.4498402501582,12.9249976560447,73.7025287355427,46.4730659724017,0.48904964029461,0.713377719631445,49.6136858454359,112.759717059661,60.6526936101758,37.0495579929342,24.2038512896382,28.5753755440849,57.8815915541131,16.1607091483665,64.8906292666929,100.587985024284,7.38098061333479,23.1850047911062,92.259975895705,116.791222731272,131.918999095163,Australia,"Sep 25, 2022",w,14853,17281,2755,6.3,1.16,67.8,10.3
5,AUT,1.76279228234377,20.9067918062154,1.77235040396101,116.822929425457,9.794544849721612,8.41424498120349,3.95234739598051,96.8889856516798,4.6085753663684,1.76279228234377,884.024340715974,90.9511160785209,3082.69896333754,288.396765044357,13.7800086752143,202.058636311085,3030.65612410343,743.610664397916,11.1728280805837,22.0431592393074,320.783729010351,1204.70416225829,398.68584169994,2.82652988642226,13.4518331999794,16.310479914102,61.6851453108819,46.6104962094606,0.375186439060602,1.19657884901981,25.7422562069513,101.057177651066,61.6942714711522,34.9344634512322,24.1337804671092,21.052032235297,104.970007006298,56.3143193948204,29.168002851669,22.8939489804833,5.3898140554321,6.4253656824737,71.30680579966,118.441915626707,105.732200560184,Austria,"Jan 22, 2023",w,21675,25003,3400,7.4,1.15,277.6,29.8
6,AZE,1.74182323762509,18.1672757111794,1.57287987993657,90.9868728875596,16.8162282002553,7.75155780812915,3.74739780460735,104.590479064824,3.70878834857739,1.74182323762509,523.446927887789,24.8078206033887,3669.97991438034,356.131767820643,14.9596977279242,93.7102007209531,2686.08897202895,789.318255055785,1.58248968480005,17.9172530789501,299.524413609224,502.933044423756,68.1173146393837,2.46128269583268,21.4956980205187,9.152510387067608,101.857018353247,52.8050114760841,1.12385605180808,0.929287033648951,33.2416261994861,52.2607602297157,30.0849866316963,31.7975946166587,39.9357282590851,22.2884667711428,95.9194379672953,100.09127853328,46.8877431255718,300.782491715967,32.6994683393339,14.5544381751007,104.855943970826,77.6902062006813,104.818388315147,Azerbaijan,"Nov 30, 2022",m,9980,35242,3869,9.1,3.53,347.6,61.1
7,BEL,1.5278551696009,12.7834707314408,1.97396167084378,95.24266434597368,13.2081247493231,9.34798791333297,3.92324520354555,88.7485451260731,4.55054673482057,1.5278551696009,1549.30849100955,85.8363916165544,3894.72088608902,331.628219003667,8.34770860596335,182.973634997319,2586.25477106494,798.33087815059,19.3848662421609,17.0762699695647,263.354056615381,1291.73890776677,228.921679838768,2.70001544025724,13.6457486028432,15.3475588488036,86.2830448111624,50.5098912676803,0.985461027269541,2.25258347955066,64.6998351920942,193.46503015462,21.4034061831433,64.0195411322094,9.5546073799454,19.6806016754492,57.4788036985165,28.2516931797652,66.0890451448609,56.322782939838,3.36292100574815,4.54548555225357,137.773123421287,113.152482695833,103.927446406301,Belgium,"Jan 15, 2023",w,33506,28575,4447,6.4,0.85,246.6,25.7
8,BGR,2.06262587033967,37.6708062357687,0.985833941014749,131.36078374795,8.000733950376,12.7119740227143,5.40027267110549,93.83813839673732,2.68740959168377,2.06262587033967,801.734762792943,1.78930654684798,2208.82087453082,195.594203503067,8.2556723655669,24.1803104358863,2663.32908055095,445.456367704306,1.68189481068337,19.8489908490485,251.997158783908,912.439244195222,122.774026108445,3.07394427547086,10.0303208910171,12.9409505030249,61.8742094475262,52.0324632718637,0.725988544612254,1.72937362440911,41.8386082274831,48.6977422164819,502.980706668415,45.2104150241363,14.1359348386043,22.727260772657,70.440292294674,33.6121428022357,25.7889548216377,61.1464107937572,11.4996041816377,18.0935848901703,89.3543730649475,399.224163158663,95.8909898235129,Bulgaria,"Jan 01, 2023",w,38108,70002,4259,16.4,1.84,1007.4,63.8
9,BHS,1.1460838429787,14.5960738583827,1.26577477939244,150.337614470734,4.90720300198458,11.5211883454489,3.23406905469284,59.4259046616562,3.57211054514127,1.1460838429787,1073.47144064533,112.480630035405,1668.0521491665,155.528361167847,11.5063145616912,157.184608783917,2417.69574128811,513.754614806416,4.88849149104996,21.5741117727202,272.807405408476,854.915132060786,242.317091119154,2.63271700559189,7.4183109891693,11.0461235476638,69.38832540508,54.9132631159892,0.510727926984654,0.204850550260066,23.0625902326843,210.003713615445,23.276761706168,11.9338885424523,52.9194654271994,21.2373306202806,49.4037735163679,20.2661521826795,36.7235846856308,211.414360186892,9.94456954869087,17.9143894249535,11.7237342731471,105.552485725695,83.6849671448583,Bahamas,"Dec 31, 2021",m,717,1092,160,6.8,1.52,277.7,39.8
10,BIH,1.68524079397113,21.7322032662246,1.403409008212,274.174712334843,6.93875607933418,8.318911849483,4.08718050722344,87.0593296993158,3.73262416192009,1.68524079397113,1037.94487902362,24.941680162732,3276.47550002681,253.551100357651,7.35131802808133,88.191275591369,2812.88156960679,721.344844100687,3.74667597116955,18.5508168643847,324.025264868906,571.73261292287,144.210757554193,2.51446102160194,19.0720661918764,9.85912242198293,81.9240059001119,51.0710698981846,0.702732560051584,1.61062440697082,23.8084519928191,74.0279451201842,76.0152658738272,32.2300676308042,23.4007146756042,10.4096635320888,155.183789100649,27.7581836572495,45.6611694371766,148.34913303013,8.76859127875942,13.9882378949026,173.276407612735,443.601500544199,499.894640302122,Bosnia,"Sep 30, 2022",m,16137,23681,2429,9.7,1.47,721.8,65.4
11,BLR,1.98263453303637,26.9140332526236,1.62591450863027,151.016953964863,11.4606778740793,8.81856546134523,4.17802139359197,116.33082479462,4.07469098901461,1.98263453303637,925.833784488509,23.6124983849252,4105.47454341986,298.31424206705,16.34615198916,117.753473359921,3040.60636126833,780.087401695504,5.14199342232122,31.6917568476328,364.441817523031,782.644199012637,761.738370670235,2.61016647672251,14.269671206689,13.9144125060188,71.7648486001763,47.1860694023314,0.854671333433069,1.2420996239666,31.553516418395,47.77740428316,71.4761669369726,20.5653172395551,35.9293809871234,21.5129935960247,73.5287125202709,39.4728341158888,35.7400762898394,192.434051441297,10.9145544673898,75.778597740292,168.347682974576,87.0330372419083,246.338711413943,Belarus,"Mar 31, 2021",m,2247,32336,2093,15.5,14.39,342.2,26.8
12,BLZ,1.23332416880972,16.0089206431793,1.24931113473327,133.944185825347,8.33397411010741,13.4253234601475,2.99179810529144,90.7931317080416,3.19494205430842,1.23332416880972,822.110311904483,115.954906828396,2031.09902815298,214.200541969537,13.3463556977402,130.646504456489,1977.92988974816,674.852796472377,19.3645494424584,15.9414026032433,318.74502176856,792.775004149744,125.073726910372,2.59747864651441,10.8412193177485,7.73272689605857,66.0066876900424,57.8762363831784,0.658332538363568,1.42187700175143,24.4097720163709,410.24896782074,18.7466410258418,8.48221801517105,30.1566274258787,26.317809141883,102.489063192036,56.4353508889255,27.6316605542194,245.054448541049,2.20600134625304,27.5599663237655,41.5771564516365,148.30013017592,85.6141387187004,Belize,"Dec 31, 2021",m,598,534,123,4.4,0.89,134.4,26.3
13,BOL,1.30097092959091,11.6971321768777,1.42770212059092,79.4182571823932,7.6866168428283,4.95148939642428,2.23801634581837,70.9804758268992,3.45365288602414,1.30097092959091,670.876212109064,99.30556690209248,1891.70698943717,207.928624638617,18.1924189423032,138.118107917321,2238.71019129958,525.629794840885,7.66458670303568,8.81878513170056,280.613758439456,863.287055004888,17.0419076294154,2.59701155979941,11.1717533254905,11.4844755307065,56.2304276184657,48.8202899495434,0.62914401158098,0.441836529406543,23.9693288131226,347.705997070434,16.6373105536912,10.8270879613562,21.307860019338,13.9281741857056,96.3053378013342,16.4573798777201,29.364322920822,226.78361819528,11.6447006571747,11.2657903840414,51.7450033137605,112.136906902985,86.590890046217,Bolivia,"Jan 31, 2022",m,20919,57734,1218,47.4,2.76,494.6,109.6
14,BRA,0.921196258917887,18.3357129262435,1.37900078691786,182.358470432519,11.8534883151885,5.66881540039433,2.66343413895772,133.842762551634,5.39514117055805,0.921196258917887,595.824885975357,74.4337571326223,2214.9691875791,234.467007824768,13.1125972321056,158.065678582596,3129.64375012375,550.620692375343,12.488372718579,28.785462593131,272.405766169591,1950.01550739027,107.039468901677,2.73385158411519,10.4451005491795,10.094794691406,93.5016977940049,52.8712884604651,0.501868737953265,0.717695768764871,63.0923517438216,159.214644061195,10.1345468746552,8.56849851834209,15.557227092521,28.9171633602458,72.2596453077913,42.0306663122113,6.13785258557343,210.46508250538,0.232899208504795,82.1244080381322,22.0047013851171,93.4462762948538,85.0199978632174,Brazil,"Dec 31, 2022",m,693853,834614,34835,24.0,1.2,392.6,61.2
15,BRB,1.16416616719235,17.3713889110577,1.19226261425276,64.5748206353605,5.20046501013495,12.0024380059666,3.09736099702014,73.860613687393,3.05563087040523,1.16416616719235,1030.11123846224,117.437755906943,1676.34140566513,250.934751545282,11.8863887217122,167.113485255625,2189.39421787361,584.023054102135,19.9473850274659,38.5961498678031,270.942398721048,259.656511149951,1547.45146106801,2.86974800477706,8.28326896822714,8.92376638407502,58.5079098392593,56.8119303939127,0.666557938034521,0.917252176712823,4.65996036361274,579.33021883572,20.5972276604685,7.79816222973414,70.8865497925629,45.8210065298308,65.8931175147277,12.4097711606324,89.9388653757158,238.606462857295,8.74931510194536,6.89395439831565,43.1843314345855,143.197065136047,129.491645466384,Barbados,"Sep 30, 2022",m,560,321,412,0.8,0.57,111.8,11.4
16,BRN,1.01455006399224,13.1435971300641,1.25641699796113,51.0330800441525,5.15835348992707,17.5944002198097,0.41377134739672,41.824534268685,3.47701119748805,1.01455006399224,558.057031283393,120.09481101109,1504.38177889196,141.398508884168,9.65417447465205,134.69878684226,2742.51092205471,414.035476940581,22.5676496386469,15.6874260216313,339.788051054698,991.259381935116,625.928719242489,2.56643502787368,10.0544975576405,12.8714095352988,79.8330903763226,58.7076563864396,0.668978225839459,1.8765444528555,10.7830981453518,190.239714917362,11.257973328955,1.18764810565715,36.4255203690438,75.411850276531,95.7437647667561,55.6338992771951,0.0538308276481342,533.314223086563,4.22032077150063,34.3251160000285,13.0259078138692,162.971973881875,82.87319255645,Brunei,"Dec 31, 2021",m,61,-3,142,0.0,,-0.8,-0.2
17,CAN,1.79636877052433,42.2321119947365,2.06069953870908,198.164877626168,11.1666945267184,8.13432477961706,5.9698484965327,114.414504754089,4.42064917635428,1.79636877052433,841.37633992163,96.4809863529046,2832.16493583953,319.048284010311,12.3787924696305,195.922828614656,2842.78898368624,811.270480158102,9.95068228974135,15.3781811038357,277.8015411147,1692.3884649994,136.306001078751,2.53528352682272,12.0199559707882,10.9871739215021,83.9776996443303,49.5681235993765,0.636729888482861,2.73391459643807,88.7218655777404,139.080248132721,26.4130746838182,29.4847558977799,24.4019408342083,17.257465575832,44.7505479314764,23.4668029187694,59.373303852471,109.852690087895,17.3307319764595,18.8835000388869,42.9616148161946,131.642725244131,136.057729119814,Canada,"Oct 02, 2022",w,45375,36797,4585,8.0,0.81,97.5,12.3
18,CHE,1.86134992682571,24.2526536723478,1.70458303955489,106.705972145984,9.21859275657802,7.12868619246264,1.58522074472089,122.289472080567,4.52820168561713,1.86134992682571,585.480100570751,90.4529003179668,2587.40656802183,295.255175894401,7.01469276449842,183.128345323918,2642.94801052158,884.791253673113,5.15070345062378,15.5563640090119,251.554434626061,1336.20883284189,348.698908262828,2.65440730412331,13.5299936055903,13.587969492187,63.0193979359915,46.0480369026859,0.770417903087356,1.35733911847436,40.1188536210593,111.780915635018,65.6602870284076,28.5423470531827,15.8789576087063,40.2763867841325,47.842784429264,20.6425240219991,44.5701220583288,77.4501014226535,6.92542421033354,2.66248976292994,53.7552151658417,115.235308591019,137.964303497016,Switzerland,"Jan 08, 2023",w,13903,18268,2625,7.0,1.31,211.1,26.6
