,iso3,age,female,urban,edu,year,Vitamin B9,Vitamin B3,Vitamin B2,Total Milk,Zinc,Vitamin E,Vitamin D,Vitamin C,Vitamin B12,Vitamin B6,Vitamin A,Selenium,Potassium,Magnesium,Iron,Iodine,Dietary Sodium,Calcium,Added sugars,Dietary fiber,Dietary cholesterol,Plant omega-3 fat,Seafood omega-3 fat,Total omega-6 fat,Monounsaturated fatty acids,Saturated fat,Total protein,Total carbohydrates,Tea,Coffee,Fruit juices,Sugar-sweetened beverages,Yoghurt (including fermented milk),Cheese,Eggs,Total seafoods,Unprocessed red meats,Total processed meats,Whole grains,Refined grains,nuts and seeds,beans and legumes,potatoes,non-starchy vegetables,fruits
539,AFG,999.0,0,999,999,2018,1.13273491174848,13.6000298830852,0.969057286548027,67.8823083221333,7.84341297956565,6.49008755675883,1.60832327210796,39.8192564240973,2.02917304715297,1.13273491174848,254.573292132067,79.4288402589489,1974.06767269417,242.011308896772,18.5746101969271,80.5863653945652,3200.55427078335,430.772203115324,9.36614800602085,45.7998018957359,73.2845097522439,924.147201698231,2.47944390038883,2.61634672874517,5.07692099675107,7.31509303953692,59.7880686212186,66.202232441101,1.70696827588,0.563270297039835,3.73550998019172,91.54422712577592,9.6367228458255,0.565691466648069,7.89465859836003,3.0638172112762,8.25880023467223,2.37037523151281,40.9693176951378,232.18420459649,30.7276151560511,105.785594893862,21.3889450547232,96.95942882183772,64.3106927835214
551,AFG,999.0,1,999,999,2018,1.07221111124297,13.3138906778331,0.942084860677026,71.0353818364601,7.39568403438807,6.30134425062176,1.5697435596722,44.5832675778076,1.52881152168504,1.07221111124297,272.093017964459,77.8625260734759,2006.25964608375,238.466868582196,18.193144944467,75.8799559432984,3100.74767329524,443.455220392629,13.9369421859354,45.7266592230779,69.7106507984431,930.25441843534,2.35568052916478,2.62435434558791,4.94350780108293,7.59825841246897,58.3617420415504,68.8522930638335,1.73483223960208,0.556465566188862,4.07660673342918,84.8525714794142,10.6397296760373,0.59235764314294,8.34487221818122,3.39883388184266,9.0480616345748,2.04303316594897,41.436390617458,210.358575800387,31.3703628957223,100.309429600345,20.5091396307199,98.1059454067389,67.0453246556686
1103,AGO,999.0,0,999,999,2018,1.67066618841197,13.6070653653275,1.30008351887184,31.8860739419793,7.39075908566509,8.01806216751711,1.7196578351831,171.654619790733,2.47308548153623,1.67066618841197,1090.86111301979,99.43741274875032,2596.08313660226,304.509757966384,16.7877482552469,54.2147942839927,2037.66429234534,439.278202414313,4.5271707728795,27.92626347771,114.498067091404,722.736792338527,126.820550217827,2.68008547191275,10.2204818330418,10.4473090901624,38.7188722295855,58.233482798372,0.540364290380166,0.663227833735065,16.1489358180587,216.480273575314,10.0986936235256,1.58891231175157,0.734970024192538,36.8391837216537,17.4119688498816,1.90734668064835,57.3527022734431,219.589992089642,11.5313529971293,36.4857107595481,356.682549726478,303.751558559702,118.034637466345
1115,AGO,999.0,1,999,999,2018,1.67385728557396,13.2737130023886,1.28735848629778,33.5454126161158,7.14058685624953,7.89637801854533,1.7090394670412,187.499628920546,2.28522312323837,1.67385728557396,1156.64374337446,97.8914613880589,2650.93029080383,302.343378956829,16.5455678415508,53.7643299114661,1948.53029426347,448.829946986417,5.04495082513991,28.5602009631179,109.89861587371,749.214256898173,119.217044051131,2.69769710309176,9.98677502522922,10.8523674614439,36.885971839332,61.8723527059854,0.551323873054985,0.667652523046047,17.7073604191555,207.467269230718,11.2548486387078,1.76019841892341,0.803275414311543,38.6317672553856,18.4771825708938,1.69385261526231,57.1677384513674,226.358374401519,11.4879953806137,38.3116240695963,336.14122996617,313.006360081398,120.99309289958
1667,ALB,999.0,0,999,999,2018,2.35519352746247,30.5793349467309,1.68727007662477,111.27829365368,8.32789583905592,15.343190874369,5.35040345766551,124.30342183258,4.07059105065588,2.35519352746247,2650.10204033387,24.3800678958048,3086.34747090297,302.891492487919,8.30649198274945,117.426743286404,3429.34189052671,831.258188080051,32.6458124643293,30.3572988156728,419.777458477276,540.43847300314,156.006262164184,2.46005090874629,15.4292882591687,11.9202495226713,68.8218302128669,47.4093744893955,0.689969874789045,0.712167791694621,24.852839344274,965.526820953692,76.9476309981922,16.961698446943,89.8992980646626,17.8365670485926,72.4320007581743,78.7517466646587,30.6382467643224,260.208154121693,12.3589947376102,41.6358436078544,195.516010326349,120.039640244612,125.235001389435
1679,ALB,999.0,1,999,999,2018,2.23448449882232,28.4373075246524,1.61481269378114,116.339887370061,7.70497292692733,14.9311361591384,4.77644480061415,133.141357130765,3.6856009589969,2.23448449882232,2720.31608544884,23.6961961102413,3071.92531344853,289.538171008813,7.77783391653486,104.792414249207,3107.92528512217,867.724810047137,32.3772314912754,30.2473907337759,394.647625242459,474.044362252559,137.51563612601,2.47962168846166,14.6348281616452,12.3407328877727,64.2825669190683,53.2375339401664,0.711710363337912,0.697164311365489,26.2810191833761,887.343514861566,88.0930036931616,16.3491287874662,84.3776949363022,18.7629948747118,63.1122758170042,67.6567301285776,31.2297830927147,244.72316989568,12.1653141070266,38.541380208295,175.990453832469,138.071187319612,152.972054899697
2231,ARE,999.0,0,999,999,2018,1.36197591012017,24.889598912992,1.7297852065966,123.675636508563,8.63101199577434,7.40644243996969,2.17551843306147,80.751962711412,3.13395927448283,1.36197591012017,336.015406891465,99.3428322944149,2090.56069351793,298.750911986481,18.9504373382901,107.306827213536,3035.32842934159,589.83652533946,7.23554160762979,14.5001884883531,251.906869044872,1521.51789559025,11.8830197332069,2.45217196294299,11.1855813074032,8.80581883023832,83.929249980457,57.7096716848699,0.900318396335461,1.14303146568283,23.7308689384243,132.017075190644,63.265204400723,20.0666142431696,30.1888820012891,41.1782893621433,29.5940911664844,40.3025636675145,37.7890384836482,341.014203834061,32.5174426651629,40.7163439718196,185.505513179001,120.812365414523,103.748335679953
2243,ARE,999.0,1,999,999,2018,1.36232613305355,20.4455963552713,1.51719668380356,141.418712550325,8.25039192303011,7.29550400086714,2.20066647518412,93.7957797972871,2.92275014056043,1.36232613305355,320.802983972742,96.92409271784932,2187.45920852254,273.190131228623,15.0497512090617,104.740626253883,3052.25946521069,612.507236568955,8.51783516057125,13.6551123822809,255.25574465598,1549.25599854753,11.1004373544671,2.41167122910783,9.052599326813493,9.058811200057352,71.3705333069044,59.3703571436716,0.849691823549567,0.97938227117368,25.9523171225935,133.149206600867,66.9213118697614,20.303890569164,28.7308195265501,38.5120319315076,28.719956659016,33.8107924853453,35.1912594326275,328.360750284599,29.5440218437719,38.8011317621649,176.92666602856,129.041928802971,116.159582794822
2795,ARG,999.0,0,999,999,2018,1.36945781884074,19.3468732944535,1.47294390529699,137.120901923376,10.0112223751366,8.7780952794495,2.70210128048481,52.7761489377495,4.49865177891875,1.36945781884074,807.86931945273,105.669845996007,1630.40147640696,195.970469411774,13.8475297083637,171.41365149701,1825.95798582309,663.903722550575,11.2158219632209,12.345968948481,274.760651350723,480.027835203063,109.295317074417,2.63145870769211,11.3584159480084,11.0550400673772,79.265934832418,46.9078294620617,0.532813376081423,0.234146662790895,10.6792566368612,226.688477627689,38.3390267737947,32.6707698442105,31.1304490036666,11.3701388011092,90.2239142327342,27.2400864793051,9.87690922057965,174.575278496414,1.61971063390813,3.61908364415301,52.1067233933769,122.416539757889,91.8229504623319
2807,ARG,999.0,1,999,999,2018,1.08489601968833,17.230357379246,1.38013155856808,136.020791911463,8.3538194662985,8.0818723540595,2.51231349251606,54.2789471077519,4.01473817794647,1.08489601968833,824.526254888504,104.529121202658,1645.32909141067,175.612595381344,12.7502129109653,166.273432821618,1530.77029426737,610.705679920059,12.130030755649,11.5309222638845,257.828921502932,395.108422074292,103.091266167934,2.68509211014754,10.6753965786374,11.5095125014179,73.9796669775979,51.9316275402954,0.587559001406361,0.230177619902509,11.2770392035794,179.58289683085,39.5242701517831,32.1746653765167,29.0824056982506,11.7615789380695,85.4393001743226,21.1333114064078,11.6759109246808,174.088541337288,1.51112549335481,3.53462845717501,50.4606387848932,125.382210902077,95.751661693977
