,Unnamed: 0,iso3,age,female,urban,edu,year,Vitamin B9,Vitamin B3,Vitamin B2,Total Milk,Zinc,Vitamin E,Vitamin D,Vitamin C,Vitamin B12,Vitamin B6,Vitamin A,Selenium,Potassium,Magnesium,Iron,Iodine,Dietary Sodium,Calcium,Added sugars,Dietary fiber,Dietary cholesterol,Plant omega-3 fat,Seafood omega-3 fat,Total omega-6 fat,Monounsaturated fatty acids,Saturated fat,Total protein,Total carbohydrates,Tea,Coffee,Fruit juices,Sugar-sweetened beverages,Yoghurt (including fermented milk),Cheese,Eggs,Total seafoods,Unprocessed red meats,Total processed meats,Whole grains,Refined grains,nuts and seeds,beans and legumes,potatoes,non-starchy vegetables,fruits,sum_food
563,563,AFG,999.0,999,999,999,2018,1.10423683276094,13.5061135454717,0.959873474383906,0.08917054085328019,7.6446912795165,6.42641285825064,1.59451870999112,42.126845016742,1.79936451806145,1.10423683276094,265.141829723329,79.0218041459128,1994.96469225237,240.378415969553,18.4530046204576,80.6876288838512,3146.32726626482,436.641414052884,11.668289816044,45.8000605790395,71.6696133144186,933.071489709475,2.50639893245083,2.62029213370112,5.01386499279147,7.48921135313332,59.1502741523475,67.4761279371533,0.0022001353706045486,0.0007169805097695384,0.005051648863459046,0.11332694807876396,0.013160366830057972,0.0007485181128460878,0.010403711395151257,0.00413195452338992,0.01109901182585377,0.002860090125590305,0.053065076228169784,0.2851620967196035,0.0398741987630131,0.1326728577007217,0.02708370671534411,0.12532540613491094,0.08394675124947011,782.6036763457323
1127,1127,AGO,999.0,999,999,999,2018,1.67414548753574,13.458251591844,1.29592564655568,0.02276580994241997,7.2742863072773,7.97019990870521,1.71755613861766,179.500621945989,2.38550697779225,1.67414548753574,1124.85183053995,98.9737627642044,2624.15183166021,303.358851506823,16.6935201042793,54.7693133591269,1997.18839302902,444.466790753934,4.78647156676671,28.3661581100168,112.211291476255,736.610282819106,125.315841750776,2.68823182798539,10.1395780863652,10.6635878156331,37.8145441317716,60.1151303030857,0.00037896755560947815,0.00046180336811940746,0.011834035028787595,0.147398998976547,0.007449890022502644,0.0011774006590812172,0.0005349356112088631,0.02636747477182927,0.012469522924462127,0.001273852609249387,0.039993057800227,0.15543692807692822,0.008063723509688031,0.02624859850590464,0.24052963562722451,0.21446120506148275,0.08315415994872775,1440.0600072467705
1691,1691,ALB,999.0,999,999,999,2018,2.29915420531083,29.5772267884471,1.65071557950374,0.05162268125178208,7.99507488960318,15.1717984639958,5.0636765602551,128.67337529473,3.87796247925137,2.29915420531083,2685.17002390473,24.2778910534769,3078.15288727218,296.269134605471,8.05330744281639,112.606794688003,3273.05588904298,851.207773742015,32.5024165970556,30.3430490800099,407.458422738146,509.642282031706,150.680561743588,2.46962609940937,15.0386087990385,12.1131564299177,66.6630408499174,50.3201395179408,0.0003181238847282852,0.00032018351465033535,0.011679007823575383,0.420083764019436,0.0376104813340348,0.007571110371729673,0.03965568047146251,0.008313605722264335,0.03083865986048161,0.033330627059313625,0.014166886521590491,0.11474382051055204,0.0055702000609309755,0.018236974940523554,0.08432097220037563,0.058586796608424495,0.06303042384414413,2203.2909176508447
2255,2255,ARE,999.0,999,999,999,2018,1.36378602232106,23.5327565353388,1.66548903821843,0.09414757529654524,8.51432630945411,7.37901780348093,2.19713318940908,84.8658402288831,3.07217436012551,1.36378602232106,331.817549945321,98.6386264903245,2120.09914336182,290.625190751955,17.7703980569793,106.443681402756,3047.26835473608,597.073541229581,7.65038872351063,14.3203179190022,253.051948429344,1533.77750146583,11.6254379532406,2.43984910833832,10.5359764842194,8.8787616783442,80.1111782379218,58.2265815020098,0.0006455638201363765,0.0007979018323013515,0.017850278394589567,0.09667325358064667,0.047030285355464344,0.014751857182227102,0.02173950880035688,0.029523361471954623,0.021439575048536816,0.027962851769422797,0.027093215788805945,0.2460658985760129,0.023123637956754595,0.02956196463588407,0.13334597124201766,0.08984707213183446,0.07840022711650858,1372.1620937446437
2819,2819,ARG,999.0,999,999,999,2018,1.22532001194784,18.2623023513008,1.42603525253498,0.13170949784766603,9.163603085231212,8.42458342005791,2.60830707778835,53.5166045648426,4.25594212814362,1.22532001194784,815.862749988454,105.001146681732,1640.32948111676,185.628053426715,13.2931665344902,171.034013954029,1676.14377807557,636.934696498777,11.6793289527669,11.9388911225485,265.914485602404,436.920709778392,106.332289077318,2.65909169363216,11.0123801783144,11.2844192981069,76.5775670732638,49.4621336157396,0.0005414378501297136,0.00022441872184902976,0.010620057792889012,0.19599337687350485,0.03764255412587621,0.03129057865503011,0.029070972624041673,0.011190805362443212,0.0848796066357724,0.023343666694028948,0.010438367767063327,0.1682857179700009,0.0015105357142328635,0.0034511038837896305,0.049556877276531706,0.1195124116062621,0.0907380125988883,1035.903086437853
3383,3383,ARM,999.0,999,999,999,2018,1.81976452571453,20.5261544633213,1.61594395207035,0.06969190006684656,12.9529913372586,16.989936929951,4.12928459327145,121.792325879166,3.82113419993538,1.81976452571453,1357.95017005009,23.5121510832447,3836.71913996319,337.635242496005,12.5732278422286,102.061519330474,2869.0296860188,856.003351789622,11.3776693965437,35.0578766059993,323.143377622786,619.695369179863,150.014078443336,2.54520946508913,19.8136612394795,11.6983906646305,102.427037720816,51.2095456144366,0.0006452858757976347,0.002442586958305825,0.024827092261599962,0.0634518322524853,0.08916032326178665,0.017978961392113246,0.03783212241117233,0.045475754956890574,0.061892013527181815,0.10051782504878204,0.02212113091680169,0.2086458282548468,0.017946433171267203,0.013962728189283194,0.04572564660824092,0.09107111431354219,0.08661142053305611,1053.3756756717446
3947,3947,ATG,999.0,999,999,999,2018,1.13322902435744,16.3221484713686,1.25902283568772,0.08488462186569526,9.81085653775853,14.9845466728511,3.39287807951326,65.5638914664671,3.05973016052328,1.13322902435744,798.265625092862,114.28236228367,1812.09809423519,189.554586551174,11.9456741205784,133.905416627014,2379.77778257768,798.053223038141,14.2284895743632,25.4516852101731,209.567726504619,947.201026236657,763.30867333228,2.67716405425166,8.13189170234955,9.58998137453388,96.2619802640029,56.8708760388201,0.000516257667320484,0.0002378275858339401,0.01659900024349313,0.2942202581698672,0.014781809096207934,0.007425758717279945,0.01510312758982924,0.03764520277128433,0.025801427835905794,0.032805083666822055,0.011597217272676678,0.12833333985472584,0.002040309896733993,0.035234490217152775,0.027427528377278236,0.187998783042442,0.07734795612945113,1234.575352830838
4511,4511,AUS,999.0,999,999,999,2018,1.67487972406263,21.4801647326749,1.89337173212855,0.18127402367906792,11.9443920095469,8.63172040108533,3.93266106359904,82.7619222401031,4.63923589260337,1.67487972406263,801.600824932621,85.9712825102656,2778.9565448677,298.279454150176,12.9195719035953,172.155786424998,2616.95643395881,673.931344637601,9.21939443229092,19.3596435443781,227.233118311448,1456.54690234155,560.709275671188,2.65444307056295,12.4498402501582,12.9249976560447,73.7025287355427,46.4730659724017,0.00043280878696410924,0.0006313390708045697,0.04390809729385701,0.09979231623523582,0.053677615899506655,0.032788847861780136,0.021420401230061916,0.02528919890183092,0.05122519139978565,0.014302222814785652,0.05742818770163323,0.08902033698521496,0.006532165658967863,0.02051872238031034,0.08165005137045621,0.10336019756179758,0.11674827516793942,1129.9438805875366
5075,5075,AUT,999.0,999,999,999,2018,1.76279228234377,20.9067918062154,1.77235040396101,0.12870907672433363,9.794544849721612,8.41424498120349,3.95234739598051,96.8889856516798,4.6085753663684,1.76279228234377,884.024340715974,90.9511160785209,3082.69896333754,288.396765044357,13.7800086752143,202.058636311085,3030.65612410343,743.610664397916,11.1728280805837,22.0431592393074,320.783729010351,1204.70416225829,398.68584169994,2.82652988642226,13.4518331999794,16.310479914102,61.6851453108819,46.6104962094606,0.0004133597779859957,0.0013183247470564194,0.028361401699929914,0.11133923875907621,0.06797135424770515,0.03848886994001593,0.026589271618731546,0.023193970956745563,0.11565017888160696,0.062044019023607136,0.03213570088846761,0.025223293495068747,0.005938200610122119,0.007079114422782098,0.07856191574524621,0.13049278665368688,0.11648992180783192,907.6510561540728
5639,5639,AZE,999.0,999,999,999,2018,1.74182323762509,18.1672757111794,1.57287987993657,0.0770455842124287,16.8162282002553,7.75155780812915,3.74739780460735,104.590479064824,3.70878834857739,1.74182323762509,523.446927887789,24.8078206033887,3669.97991438034,356.131767820643,14.9596977279242,93.7102007209531,2686.08897202895,789.318255055785,1.58248968480005,17.9172530789501,299.524413609224,502.933044423756,68.1173146393837,2.46128269583268,21.4956980205187,9.152510387067608,101.857018353247,52.8050114760841,0.0009516553688929564,0.0007868988144806068,0.028148241932389323,0.04425320571528987,0.025475272393706713,0.0269254693126772,0.03381665307337651,0.018873359299908344,0.08122236649072175,0.08475498480638373,0.039703458827255664,0.2546956726797805,0.027689155168055677,0.012324362366756622,0.08878959354237305,0.06578627371568838,0.0887577922798344,1180.9485750240044
